Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3250,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2502,105,0,3,3,0,0,3,0,0,0,0,15,0.5,0.5,0.5,0,0,0,0,0,0,0,3,0,752
3,2806,210,0,3,3,0,0,6,0,0,0,0,15,0.5,0.5,0.5,0,0,0,0,0,0,0,6,0,1004
4,2678,280,0,3,2,0,0,8,0,0,0,0,21,0.5,0.5,0.5,0,0,0,0,0,0,0,8,0,1172
5,2152,385,0,3,3,0,0,11,0,0,0,0,30,0.5,0.5,0.5,0,0,0,0,0,0,0,11,0,1424
6,3576,385,0,3,0,0,0,11,0,0,0,0,30,0.5,0.5,0.5,0,0,0,0,0,0,0,11,0,1424
